result_type,capture_time_utc,capture_date_utc,historical_or_current,property_id,property_name,website,target_unit_id,target_unit_key,july31_rp_date,july31_surgex_date,july31_surgex_provenance,portal_selection_reason,selected_portal_url,selected_portal_status,selected_parser_inventory_units,current_unit_present,current_unit_match_count,current_parser_unit_number,current_raw_source_date,current_raw_date_origin,current_visible_source_date,current_apply_move_in_date,current_normalized_date,current_normalized_provenance,current_source_date_present,current_future_presence,current_explicit_future_recovered,current_vs_rp_comparison,current_minus_rp_days,current_within_one_day_of_rp,failure
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,738-4A,738-4A,2026-08-13,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,738-4A,8/14/2026,apply_move_in_fallback,,8/14/2026,2026-08-14,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,762-3A,762-3A,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,762-3A,,source_date_blank,,,2026-08-01,capture_date_default,false,false,false,current_nonfuture,-5,false,current_source_date_blank
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG106,CG106,2026-09-26,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG106,9/27/2026,apply_move_in_fallback,,9/27/2026,2026-09-27,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG116,CG116,2026-08-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG116,8/11/2026,apply_move_in_fallback,,8/11/2026,2026-08-11,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG406,CG406,2026-08-19,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG406,8/20/2026,apply_move_in_fallback,,8/20/2026,2026-08-20,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG501,CG501,2026-10-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG501,10/7/2026,apply_move_in_fallback,,10/7/2026,2026-10-07,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG503,CG503,2026-09-12,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG503,9/13/2026,apply_move_in_fallback,,9/13/2026,2026-09-13,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,CG618,CG618,2026-09-09,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,CG618,9/10/2026,apply_move_in_fallback,,9/10/2026,2026-09-10,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,MB421,MB421,2026-08-13,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,MB421,8/14/2026,apply_move_in_fallback,,8/14/2026,2026-08-14,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,MB519,MB519,2026-08-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,MB519,8/11/2026,apply_move_in_fallback,,8/11/2026,2026-08-11,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,MB617,MB617,2026-08-25,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,MB617,8/26/2026,apply_move_in_fallback,,8/26/2026,2026-08-26,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,MB717,MB717,2026-09-21,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,MB717,9/22/2026,apply_move_in_fallback,,9/22/2026,2026-09-22,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,MB720,MB720,2026-09-21,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,24,true,1,MB720,9/22/2026,apply_move_in_fallback,,9/22/2026,2026-09-22,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1034SP-D,1034SP-D,2026-09-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,false,0,,,source_date_blank,,,,,false,,false,current_unit_not_in_selected_inventory,,,target_unit_not_in_current_inventory
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1036TG-A,1036TG-A,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1036TG-A,8/7/2026,apply_move_in_fallback,,8/7/2026,2026-08-07,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1058,1058,2026-08-20,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1058,8/21/2026,apply_move_in_fallback,,8/21/2026,2026-08-21,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1083,1083,2026-09-24,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1083,9/25/2026,apply_move_in_fallback,,9/25/2026,2026-09-25,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1132,1132,2026-09-14,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1132,9/15/2026,apply_move_in_fallback,,9/15/2026,2026-09-15,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1146,1146,2026-08-21,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1146,8/22/2026,apply_move_in_fallback,,8/22/2026,2026-08-22,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1148,1148,2026-08-28,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1148,8/29/2026,apply_move_in_fallback,,8/29/2026,2026-08-29,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,1181,1181,2026-09-02,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,1181,9/3/2026,apply_move_in_fallback,,9/3/2026,2026-09-03,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,989,989,2026-08-31,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,10,true,1,989,9/1/2026,apply_move_in_fallback,,9/1/2026,2026-09-01,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,18,18,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,18,8/7/2026,apply_move_in_fallback,,8/7/2026,2026-08-07,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,243,243,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,243,8/14/2026,apply_move_in_fallback,,8/14/2026,2026-08-14,explicit_future,true,true,true,current_other_future,8,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,245,245,2026-08-02,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,245,8/3/2026,apply_move_in_fallback,,8/3/2026,2026-08-03,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,307,307,2026-09-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,307,9/11/2026,apply_move_in_fallback,,9/11/2026,2026-09-11,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,337,337,2026-08-19,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,337,8/20/2026,apply_move_in_fallback,,8/20/2026,2026-08-20,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,58,58,2026-08-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,58,8/12/2026,apply_move_in_fallback,,8/12/2026,2026-08-12,explicit_future,true,true,true,current_other_future,2,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,73,73,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,22,true,1,73,8/7/2026,apply_move_in_fallback,,8/7/2026,2026-08-07,explicit_future,true,true,true,current_plus_one_day,1,true,
