Source,Destination,Start,End,Md5,Source Size,Bytes Transferred,Result,Description
gs://jugnu-canary/profiles/strict-v2-fa1afb7/262540.json,gs://jugnu-canary/profiles/strat1000-ff7b377/262540.json,2026-08-02T23:21:07.049217Z,2026-08-02T23:21:07.049316Z,3yH2+4xl/4+Zla/w9ZCfvg==,3789,3789,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/263110.json,gs://jugnu-canary/profiles/strat1000-ff7b377/263110.json,2026-08-02T23:21:07.113060Z,2026-08-02T23:21:07.113151Z,gIaJ/spv8enI0Siq5+N3sQ==,3099,3099,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/264139.json,gs://jugnu-canary/profiles/strat1000-ff7b377/264139.json,2026-08-02T23:21:07.185763Z,2026-08-02T23:21:07.185852Z,hzI2xIlpIUVbw52v1IVj7Q==,4046,4046,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/264397.json,gs://jugnu-canary/profiles/strat1000-ff7b377/264397.json,2026-08-02T23:21:07.249752Z,2026-08-02T23:21:07.249842Z,X1nUkjzHMcykKWyYyvdLNQ==,3196,3196,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/264764.json,gs://jugnu-canary/profiles/strat1000-ff7b377/264764.json,2026-08-02T23:21:07.311482Z,2026-08-02T23:21:07.311570Z,4feL2Iv2dAV9VvxBdVHbSA==,3077,3077,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/264994.json,gs://jugnu-canary/profiles/strat1000-ff7b377/264994.json,2026-08-02T23:21:07.373970Z,2026-08-02T23:21:07.374061Z,CaIiJTKGen0z/gVbkbBfew==,3051,3051,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/265110.json,gs://jugnu-canary/profiles/strat1000-ff7b377/265110.json,2026-08-02T23:21:07.439688Z,2026-08-02T23:21:07.439779Z,7px0zOnDIysh6dF0/KWmFg==,3770,3770,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26523.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26523.json,2026-08-02T23:21:07.492159Z,2026-08-02T23:21:07.492235Z,5pm8cf2hA4RlHLqUvMN/4g==,3312,3312,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/265281.json,gs://jugnu-canary/profiles/strat1000-ff7b377/265281.json,2026-08-02T23:21:07.553045Z,2026-08-02T23:21:07.553149Z,2IHWUO7+ILs+40qHtYqMFg==,3138,3138,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/265402.json,gs://jugnu-canary/profiles/strat1000-ff7b377/265402.json,2026-08-02T23:21:07.617858Z,2026-08-02T23:21:07.617944Z,Bhepz365hetQxp/RjLJOEQ==,3079,3079,OK,
