pid,property_name,city,state,website,top_guess_conventional,top_guess_floor_plans,top_guess_models,top_guess_rentcafe_spa,top_guess_other
219740,Landon Court,Lansdowne,PA,https://woodwardproperties.com/apartments/landon-court/,https://woodwardproperties.com/lansdowne/landon-court/conventional/,https://woodwardproperties.com/floor-plans/,https://woodwardproperties.com/models,https://woodwardproperties.com/apartments/pa/lansdowne/floor-plans#/,https://woodwardproperties.com/Floor-plans.aspx
218987,The Retreat at Fairhope Village,Fairhope,AL,https://www.theretreatatfairhopevillage.com/,https://www.theretreatatfairhopevillage.com/fairhope/the-retreat-at-fairhope-village/conventional/,https://www.theretreatatfairhopevillage.com/floor-plans/,https://www.theretreatatfairhopevillage.com/models,https://www.theretreatatfairhopevillage.com/apartments/al/fairhope/floor-plans#/,https://www.theretreatatfairhopevillage.com/Floor-plans.aspx
219388,Chestnut Hill South,Hamden,CT,https://www.liveatfranklin.com/index.php/our-communities/chestnut-hill-south/,https://www.liveatfranklin.com/hamden/chestnut-hill-south/conventional/,https://www.liveatfranklin.com/floor-plans/,https://www.liveatfranklin.com/models,https://www.liveatfranklin.com/apartments/ct/hamden/floor-plans#/,https://www.liveatfranklin.com/Floor-plans.aspx
21975,Fairlane Apartments & Townhomes,Taylor,MI,https://liveatfairlaneapartments.com/,https://liveatfairlaneapartments.com/taylor/fairlane-apartments-townhomes/conventional/,https://liveatfairlaneapartments.com/floor-plans/,https://liveatfairlaneapartments.com/models,https://liveatfairlaneapartments.com/apartments/mi/taylor/floor-plans#/,https://liveatfairlaneapartments.com/Floor-plans.aspx
220042,Chester Tracey,Englewood,NJ,http://englewoodnjapartmentsrent.com/,http://englewoodnjapartmentsrent.com/englewood/chester-tracey/conventional/,http://englewoodnjapartmentsrent.com/floor-plans/,http://englewoodnjapartmentsrent.com/models,http://englewoodnjapartmentsrent.com/apartments/nj/englewood/floor-plans#/,http://englewoodnjapartmentsrent.com/Floor-plans.aspx
218776,The Griffin Apartments,Scottsdale,AZ,https://www.thegriffinscottsdale.com/,https://www.thegriffinscottsdale.com/scottsdale/the-griffin-apartments/conventional/,https://www.thegriffinscottsdale.com/floor-plans/,https://www.thegriffinscottsdale.com/models,https://www.thegriffinscottsdale.com/apartments/az/scottsdale/floor-plans#/,https://www.thegriffinscottsdale.com/Floor-plans.aspx
220043,Gardens at Briarwood,Brookhaven,GA,https://gardensatbriarwood.prospectportal.com/,https://gardensatbriarwood.prospectportal.com/brookhaven/gardens-at-briarwood/conventional/,https://gardensatbriarwood.prospectportal.com/floor-plans/,https://gardensatbriarwood.prospectportal.com/models,https://gardensatbriarwood.prospectportal.com/apartments/ga/brookhaven/floor-plans#/,https://gardensatbriarwood.prospectportal.com/Floor-plans.aspx
218597,Valley Oak,Modesto,CA,http://www.valleyoakwelcomehome.com/,http://www.valleyoakwelcomehome.com/modesto/valley-oak/conventional/,http://www.valleyoakwelcomehome.com/floor-plans/,http://www.valleyoakwelcomehome.com/models,http://www.valleyoakwelcomehome.com/apartments/ca/modesto/floor-plans#/,http://www.valleyoakwelcomehome.com/Floor-plans.aspx
219959,The Hadley Riverside,Fort Worth,TX,https://www.cortlandriverside.com/Home.aspx,https://www.cortlandriverside.com/fort-worth/the-hadley-riverside/conventional/,https://www.cortlandriverside.com/floor-plans/,https://www.cortlandriverside.com/models,https://www.cortlandriverside.com/apartments/tx/fort-worth/floor-plans#/,https://www.cortlandriverside.com/Floor-plans.aspx
21976,Century Square Townhomes,Taylor,MI,https://princetonmanagement.com/communities/century-square-townhomes/,https://princetonmanagement.com/taylor/century-square-townhomes/conventional/,https://princetonmanagement.com/floor-plans/,https://princetonmanagement.com/models,https://princetonmanagement.com/apartments/mi/taylor/floor-plans#/,https://princetonmanagement.com/Floor-plans.aspx
219181,,,,https://www.livecrownatsteeplechase.com/,,https://www.livecrownatsteeplechase.com/floor-plans/,https://www.livecrownatsteeplechase.com/models,,https://www.livecrownatsteeplechase.com/Floor-plans.aspx
219410,MIRO,San Jose,CA,https://rentmiro.com/,https://rentmiro.com/san-jose/miro/conventional/,https://rentmiro.com/floor-plans/,https://rentmiro.com/models,https://rentmiro.com/apartments/ca/san-jose/floor-plans#/,https://rentmiro.com/Floor-plans.aspx
218586,Cedar Ridge,Sacramento,CA,https://cedarridgeapts.rentaladdress.com/,https://cedarridgeapts.rentaladdress.com/sacramento/cedar-ridge/conventional/,https://cedarridgeapts.rentaladdress.com/floor-plans/,https://cedarridgeapts.rentaladdress.com/models,https://cedarridgeapts.rentaladdress.com/apartments/ca/sacramento/floor-plans#/,https://cedarridgeapts.rentaladdress.com/Floor-plans.aspx
7950,1820 South Apartments,Mount Pleasant,MI,https://www.1820southapts.com/,https://www.1820southapts.com/mount-pleasant/1820-south-apartments/conventional/,https://www.1820southapts.com/floor-plans/,https://www.1820southapts.com/models,https://www.1820southapts.com/apartments/mi/mount-pleasant/floor-plans#/,https://www.1820southapts.com/Floor-plans.aspx
8119,St. Andrews of Palm Aire,Pompano Beach,FL,https://www.scullycompany.com/apartments/florida/broward-county/pompano-beach/st-andrews-palm-aire/,https://www.scullycompany.com/pompano-beach/st-andrews-of-palm-aire/conventional/,https://www.scullycompany.com/floor-plans/,https://www.scullycompany.com/models,https://www.scullycompany.com/apartments/fl/pompano-beach/floor-plans#/,https://www.scullycompany.com/Floor-plans.aspx
8654,Riverfalls at Bellmar,Dallas,TX,https://www.riverfallsdallas.com/,https://www.riverfallsdallas.com/dallas/riverfalls-at-bellmar/conventional/,https://www.riverfallsdallas.com/floor-plans/,https://www.riverfallsdallas.com/models,https://www.riverfallsdallas.com/apartments/tx/dallas/floor-plans#/,https://www.riverfallsdallas.com/Floor-plans.aspx
7980,Tesota Morningside,Albuquerque,NM,https://www.tesotamorningside.com/,https://www.tesotamorningside.com/albuquerque/tesota-morningside/conventional/,https://www.tesotamorningside.com/floor-plans/,https://www.tesotamorningside.com/models,https://www.tesotamorningside.com/apartments/nm/albuquerque/floor-plans#/,https://www.tesotamorningside.com/Floor-plans.aspx
86752,Dylan,Alexandria,VA,https://www.dylanandreese.com/,https://www.dylanandreese.com/alexandria/dylan/conventional/,https://www.dylanandreese.com/floor-plans/,https://www.dylanandreese.com/models,https://www.dylanandreese.com/apartments/va/alexandria/floor-plans#/,https://www.dylanandreese.com/Floor-plans.aspx
8585,,,,https://www.thetrailsarlington.com/,,https://www.thetrailsarlington.com/floor-plans/,https://www.thetrailsarlington.com/models,,https://www.thetrailsarlington.com/Floor-plans.aspx
8504,The Enclave,Lewisville,TX,https://www.enclavelewisville.com/home,https://www.enclavelewisville.com/lewisville/the-enclave/conventional/,https://www.enclavelewisville.com/floor-plans/,https://www.enclavelewisville.com/models,https://www.enclavelewisville.com/apartments/tx/lewisville/floor-plans#/,https://www.enclavelewisville.com/Floor-plans.aspx
8575,Brooklyn 9590,Dallas,TX,https://thebrooklynat9590.com/,https://thebrooklynat9590.com/dallas/brooklyn-9590/conventional/,https://thebrooklynat9590.com/floor-plans/,https://thebrooklynat9590.com/models,https://thebrooklynat9590.com/apartments/tx/dallas/floor-plans#/,https://thebrooklynat9590.com/Floor-plans.aspx
8079,Aspen Lakes,Grand Rapids,MI,https://www.ampresidential.com/aspen-lakes-grand-rapids-mi/contact?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=website_link,https://www.ampresidential.com/grand-rapids/aspen-lakes/conventional/,https://www.ampresidential.com/floor-plans/,https://www.ampresidential.com/models,https://www.ampresidential.com/apartments/mi/grand-rapids/floor-plans#/,https://www.ampresidential.com/Floor-plans.aspx
8313,Summit at Lake Union Apartment Homes,Seattle,WA,https://www.thesummitatlakeunion.com/,https://www.thesummitatlakeunion.com/seattle/summit-at-lake-union-apartment-homes/conventional/,https://www.thesummitatlakeunion.com/floor-plans/,https://www.thesummitatlakeunion.com/models,https://www.thesummitatlakeunion.com/apartments/wa/seattle/floor-plans#/,https://www.thesummitatlakeunion.com/Floor-plans.aspx
8418,City Gate at Cupertino Apartments,Cupertino,CA,http://www.equityapartments.com/california/san-francisco-bay-apartments/cupertino/archstone-cupertino-apartments.aspx,http://www.equityapartments.com/cupertino/city-gate-at-cupertino-apartments/conventional/,http://www.equityapartments.com/floor-plans/,http://www.equityapartments.com/models,http://www.equityapartments.com/apartments/ca/cupertino/floor-plans#/,http://www.equityapartments.com/Floor-plans.aspx
