apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
78093	Highland at Spring Hill	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_SHAPE_REJECTED	0	0	NEEDS_RENDER	0	0	0	false	entrata_no_published_route	http://highlandatspringhill.com/
78134	The 24	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://uncommondevelopers.com/apartments/the-24/
78508	Westpark Townhomes	rentmanager	SUCCESS_PLAN_LEVEL	TIER_2_JSONLD	6	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://westparklife.com/
97506	Roebling Lofts I	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://roeblinglofts.com/
98288	980 Central	<blank>	SUCCESS_PLAN_LEVEL		1	0	<none>	0	0	0	false	uncertain_residual	https://www.980central.com/
118780		<blank>	FAILED_NO_DATA		0	0	<none>	0	0	0	false	uncertain_residual	https://www.loftsatlittlecreek.com/
119119	Electric City	encoreskyline_template	SUCCESS_PLAN_LEVEL	TIER_2_JSONLD	23	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.primeelectriccity.com/
217343	Eagle Harbor II	wix_nopms	SUCCESS_PLAN_LEVEL	SYNDICATION_ONLY_WIX_PLAN_LEVEL	6	0	NEEDS_RENDER	0	0	0	false	render_endpoint_discovery	https://www.liveeagleharbor.com/
217564	Altitude	apts247	SUCCESS_PLAN_LEVEL	TIER_1_PROFILE_MAPPING	11	0	UNCERTAIN	0	0	0	false	apts247_plan_ids_no_physical_roster	https://www.altitudeglenwoodsprings.com/
217578	Acadia Court	rentmanager	FAILED_NO_DATA	TIER_1_API_RENTMANAGER	0	0	UNCERTAIN	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.acadiacourtapts.com/
217960	Villa Adrian Apartments	generic_plan_text	FAILED_NO_DATA	TIER_1_API	0	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://villaadrian.schattenproperties.com/overview
218172	Alister Uptown	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_EMPTY	0	0	EXTRACTION_MISS	1	0	0	true	entrata_hb_audited_no_win	https://www.alisteruptowncharlotte.com/
218187	Lafayette Townhomes	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	1	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://apartmentsniagara.com/property-detail/?ID=46
218586	Cedar Ridge	rentaladdress	SUCCESS_PLAN_LEVEL	TIER_1_DOM_RENTALADDRESS_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://cedarridgeapts.rentaladdress.com/
220043	Gardens at Briarwood	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_NO_RESPONSE	0	0	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	https://gardensatbriarwood.prospectportal.com/
220345	Vestawood Apartments	wix_floor_plans	FAILED_NO_DATA	TIER_1_DOM_WIX_FLOOR_PLANS	0	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.vestawood.com/
220593	Eagle Creek Court	rentcafe	SUCCESS_PLAN_LEVEL	TIER_1_API_RENTCAFE_NO_RESPONSE_PLAN_LEVEL	12	0	EXTRACTION_MISS	0	0	0	false	rentcafe_residual_after_direct_sweep	https://www.eaglecreekcourtapts.com/
221113	Coopers Pond	rentcafe	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	5	0	EXTRACTION_MISS	0	0	0	false	rentcafe_residual_after_direct_sweep	https://www.toftreesapartments.com/coopers-pond/
222122	Lincoln Meadows	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://princetonmanagement.com/communities/lincoln-meadows-apartments/
225313	La Collina Townhomes	<blank>	FAILED_UNREACHABLE	generic:no_body_short_circuit	0	0	UNCERTAIN	0	0	0	false	uncertain_residual	https://www.triplecrowncorp.com/company/locations/la-collina/
