result_type,historical_run_date,denominator_scope,category,property_id,property_name,configured_address,configured_city,configured_state,website,july_rows,july_unit_rows,july_plan_rows,july_capture_date_rows,july_blank_date_rows,july_other_date_rows,july_extraction_tiers,selected_for_current_live_probe
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,303963,Allure at Edinburgh,249 Allure Ln,Chesapeake,VA,https://www.allurechesapeake.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,7886,Azure Place,3896 Chippewa Rd,Memphis,TN,https://www.azureplaceapts.com/,12,12,0,12,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,15079,The Left Bank at River Oaks,5353 Memorial Dr,Houston,TX,http://www.leftbankriveroaks.com/,9,9,0,9,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,25395,Beach Colony,2821 Camino Del Mar,Del Mar,CA,http://www.beachcolonyapts.com/,4,4,0,4,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,76982,The Pointe at Texarkana,2700 Woodland Rd,Texarkana,AR,http://www.pointetexarkana.com/,6,6,0,6,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,269984,Flats at Market Street,4903 Market St,Wilmington,NC,https://www.flatsatmarketstreet.com/,7,7,0,7,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_WORKFLOW,15704,East Perimeter Pointe,4946 Snapfinger Woods Dr,Decatur,GA,http://www.eastperimeterpointe.com/east-perimeter-pointe-decater-ga/home,23,23,0,23,0,0,TIER_1_API_ONESITE_WORKFLOW,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_WORKFLOW,283561,946 MLK,946 Dr Martin Luther King Jr St,Indianapolis,IN,https://www.946mlk.com/,1,1,0,1,0,0,TIER_1_API_ONESITE_WORKFLOW,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,336 Blackhawk Rd,Charlotte,NC,https://www.townesuniversity.com/,4,4,0,4,0,0,TIER_1_API_REALPAGE_OLL,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,8504,The Enclave,2197 S S Uecker Dr,Lewisville,TX,https://www.enclavelewisville.com/home,4,4,0,4,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,11317,Dixon at Stonegate,2501 Oak Hill Cir,Fort Worth,TX,https://www.dixonatstonegate.com/,11,11,0,11,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,16788,Beach House,1433 Superior Ave,Newport Beach,CA,www.rentthebeachhouseapts.com,3,3,0,3,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,17373,39 North,10225 E Girard Ave,Denver,CO,https://www.liveat39north.com/,2,2,0,2,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,19713,Elmhurst Terrace,100 Fellows Ct,Elmhurst,IL,https://www.elmhurstterrace.com/,5,5,0,5,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,22769,Saltaire Apartments,20530 Anza Ave,Torrance,CA,https://www.saltaireliving.net/,3,3,0,3,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,25063,Highgrove at Big Bend,747 Westbrooke Village Dr,Manchester,MO,https://www.highgroveatbigbend.com,6,6,0,6,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,25781,Mayflower,205 34th St,Virginia Beach,VA,https://www.iliveonthebeach.com/,11,11,0,11,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,28143,Lyric Apartment Homes,1738 Canyon Dr,Los Angeles,CA,https://www.liveatlyricapts.com/,1,1,0,1,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,30356,Summit Park,868 S Magnolia Ave,El Cajon,CA,https://liveatsummitpark.com/contact,2,2,0,2,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,31917,Sequoia Meadows,5301 W Pioneer Ave,Las Vegas,NV,http://www.sequoiameadows.com/,2,2,0,2,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,33981,Village at Brookline,77 Village Way,Brookline,MA,https://www.liveinbrookline.com/,9,9,0,9,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,40493,Bristol Park at Oak Ridge,790 Emory Valley Rd,Oak Ridge,TN,http://www.bristolparkoakridge.com/,7,7,0,7,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,43278,University Club,1722 S Carson Ave,Tulsa,OK,http://www.universityclubtulsa.com/,11,11,0,11,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,43353,Charleston Crossing,4548 S Elm Pl,Broken Arrow,OK,https://charlestoncrossingapthome.com/gallery,3,3,0,3,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,51928,Sutton Crossings,3814 Cascades Blvd,Kent,OH,https://suttoncrossings.com/#,8,8,0,8,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,52925,Moria Gardens,1231 Gary Way,Woodland,CA,http://moriagardenapartments.com/,2,2,0,2,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,57581,Parma Park East & West,2705 Snow Rd,Parma,OH,https://www.parmapark.com/,6,6,0,6,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,59959,Gold Crossing,10890 Coloma Rd,Rancho Cordova,CA,https://www.goldcrossingliving.com/,2,2,0,2,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,60372,Chelsea,4630 Collier St,Beaumont,TX,https://www.thechelseaapartments.com,8,8,0,8,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,72054,Cedar Glen,603 N Chippewa Ave,Anaheim,CA,http://www.rentcedarglen.com/,14,14,0,14,0,0,TIER_1_API_REALPAGE_OLL,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,75744,Newtown Place,101 Cambridge Ln,Newtown,PA,https://www.newtownplace.com/,5,5,0,5,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,217716,Taylor Pointe Residences,4-6 Sanders St,Nashua,NH,https://www.taylorpointeresidences.com/,9,9,0,9,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,225197,Pine Forest Apartments,14010 Pine Forest Dr,North Royalton,OH,https://homeatpineforest.com/,4,4,0,4,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,229949,Indie Westside,3740 Keystone Av,Los Angeles,CA,https://www.indiewestside.com/,8,8,0,8,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,232495,Inverness Apartments,5150 S Elm Pl,Broken Arrow,OK,https://www.invernessapthome.com,4,4,0,4,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,241323,Morningside Creek I,410 Bell Ave,Sacramento,CA,www.morningsidecreekapts.com,4,4,0,4,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,263081,Culebra Commons,7106 Culebra Commons,San Antonio,TX,https://www.liveculebra.com/,12,12,0,12,0,0,TIER_1_API_REALPAGE_OLL,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,263789,Plum Tree,4200 S Washington St,Kaufman,TX,https://www.plumtreeapt.com/,14,14,0,14,0,0,TIER_1_API_REALPAGE_OLL,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,274335,Maverick,7880 W Maule Ave,Las Vegas,NV,https://www.mavericklv.com/,10,10,0,10,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,279103,Shade,10340 S Decatur Blvd,Las Vegas,NV,https://shadeapartments.com/,11,11,0,11,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,281344,Deca Court,711 N I St,Tacoma,WA,https://www.decacourtapts.com/,6,6,0,6,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,282952,Melissa Ranch,4500 Pue Rd,San Antonio,TX,https://www.melissaranchapartments.com/,9,9,0,9,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,286929,The Fairlane,101 Holiday Square Blvd,Covington,LA,https://thefairlane.com/,6,6,0,6,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,301106,Alcott Eastpointe,75 Eastpointe Dr,Tallmadge,OH,https://www.alcotteastpointe.com/,6,6,0,6,0,0,TIER_1_API_REALPAGE_OLL,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,SQUARESPACE_UNIT_BLOCK,241432,Cricket Flats,65 Cricket Ave,Ardmore,PA,http://cricketflats.com/,8,8,0,8,0,0,TIER_1_DOM_SQUARESPACE_UNIT_BLOCK,true
