property_id,property_name,route_kind,discovery_source,requested_url,status,final_url,body_bytes,body_sha256,page_name_match,page_address_match,source_property_name,source_property_address,source_name_match,source_address_match,strongest_parser,raw_rows,raw_native_positive_rent_rows,waitlist_pseudo_rows,strict_real_native_pre_postprocess,strict_real_native_postprocess,parser_counts,sample_rows,error
234385,Townhomes at Spring Valley,marketing_root,current_direct,http://www.mmgapts.com/spring-valley.htm,200,https://mmgapts.com/property/townhomes-at-spring-valley/,85398,0f50790d9f6ef671e3819a50d1ae3db3b336168c0c05ca4048f111618e3f889e,True,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
241538,Block 88,marketing_root,current_direct,http://www.block88apts.com/,200,https://www.block88apts.com/,183933,c4e79212ce76857259c6f44f4184367e528213abd1f0aa5a0d0d45392827b2b2,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
244756,Town Commons,marketing_root,current_direct,https://harvest-properties.com/project/town-commons-apartments/,200,https://harvest-properties.com/project/town-commons-apartments/,391762,e62aa70224b840cfa0fb9d9c7305e321b2cffe0b9292348ec707ce400857577d,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
262799,220 East 72nd,marketing_root,current_direct,https://www.dermotcompany.com/building/220-east-72nd-street#availability,200,https://www.dermotcompany.com/building/220-east-72nd-street#availability,394692,bfc55697c77c5a4c852a3bb98ba0c714dd53d1f8cc38963d9a1a891c6c6eb0a3,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
266766,101 Oxford,marketing_root,current_direct,https://www.101oxford.com/,200,https://www.101oxford.com/,153845,cd69622493668d19957db62c8250166597c77bfaabf3c92f15849a537ff71bfb,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
277913,Redwood Perrysburg Oregon Road,marketing_root,current_direct,https://www.byredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/index.aspx,200,https://rentatredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/,293576,300cf69345abfb6ee098072fb8e90c889be860e805c1bd5ef6a5d1158f9eac89,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
289338,201 Walnut,marketing_root,current_direct,https://www.201walnut.com/,200,https://www.201walnut.com/,163869,dfe8031b55a83567a8276881d2d2215273e40cab40a429133c5206d75836f1d1,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
24337,Colonial House,same_origin_anchor,current_direct_published,https://residential.eprodesse.com/colonial-house-apartments/floorplans.aspx,200,https://residential.eprodesse.com/colonial-house-apartments/floorplans.aspx,83940,e89581bfae4c14b7eec2e345256e415cd4cade875b16ef58b411bef34630751f,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
594,Harbinwood,same_origin_anchor,current_direct_published,https://www.harbinwoodbyelon.com/floorplans.aspx,200,https://www.harbinwoodbyelon.com/floorplans.aspx,75049,ce1651e4ca9871236305cc4b624ff6caaa3c268be0013a721981ad9fa90daef9,True,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
29566,Heatherwood I,same_origin_anchor,current_direct_published,https://heatherwoodfl.com/floor-plans/,200,https://heatherwoodfl.com/floor-plans/,391345,78e39b4ee9a6b96d0e57ec85e6bc88b594dc0f3757e11e5b2078bd4435871b43,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
223248,Royal Oaks,same_origin_anchor,current_direct_published,https://www.metrocityapts.com/floor-plans,200,https://www.metrocityapts.com/floor-plans,1389940,cc886f770c6c1903f3183da5bbc60d2e0f0e9d0c26562b760b5da42348871bdc,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
46915,Barberton,same_origin_anchor,current_direct_published,https://www.barbertonapt.com/floorplans,200,https://www.barbertonapt.com/floorplans,139564,dd85dfb3a01b2c9b900f1d3bf619f271b5dfe991ad966a3676121904a05983fe,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
231543,Autumn Hills,same_origin_anchor,current_direct_published,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/582__000001_1200.png,200,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/582__000001_1200.png,2718080,a5a6ec092ce68f75c830c33d59113c24fae2bf940b4f65fa7599e7c41fdc42b4,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
17186,The Park at Tivoli,same_origin_anchor,current_direct_published,https://www.theparkattivoli.com/floorplans,404,https://www.theparkattivoli.com/floorplans,128491,da14e7006ee3a6e69c66f71f3221fa80db88cb204cbec7a6d6d2fbf916708023,True,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
58390,30 Lancaster,same_origin_anchor,current_direct_published,https://www.live30lancaster.com/floorplans,200,https://www.live30lancaster.com/floorplans,250768,40ee84fdc64a2f9b9f2fa02afb03f2a05b61aeb9f5c0565c7ba1d1e8bd3cb370,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
234385,Townhomes at Spring Valley,same_origin_anchor,current_direct_published,https://mmgapts.com/property/townhomes-at-spring-valley-floor-plans/,200,https://mmgapts.com/property/townhomes-at-spring-valley-floor-plans/,88837,70f0a56a8b235a9b0e93fc47fd7e812f9f581ab26176fd65bfa8ffb97937461c,True,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
5782,Springfield,same_origin_anchor,current_direct_published,https://www.springfieldrenton.com/floorplans,200,https://www.springfieldrenton.com/floorplans,207194,1eb87f4256ecb4c3eb7122441843e199a4c3a5d40e67dcc6e933f5c9c43841c5,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
231543,Autumn Hills,same_origin_anchor,current_direct_published,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/581__000001_1200.png,200,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/581__000001_1200.png,2684909,38169bcd40fe84a20a50d5ecee9cd75296f418428c83a4a625c30f0d6bfead17,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
231543,Autumn Hills,same_origin_anchor,current_direct_published,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/580__000001_1200.png,200,https://bestrentnj.com/wp-content/uploads/247/FloorplanWebNew/580__000001_1200.png,2888798,3fd45d33c2edc0e4ec503ecbc7c91d15a9c6fa42cd654d451519fe7811e93216,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
74519,The Jamestown,same_origin_anchor,current_direct_published,https://www.thejamestownapartments.com/floorplans.aspx,200,https://www.thejamestownapartments.com/floorplans.aspx,149342,7aeb80d3da515b63e33ab01f03085d410cf9cc66d61a3f3a8e4eff58d438ce4a,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
225886,Casa Baywood,same_origin_anchor,current_direct_published,https://www.casabaywoodapts.com/floorplans,200,https://www.casabaywoodapts.com/floorplans,184851,0929f57a61e252908ffaa8e07967bd332ee1a8a890a3c07827c78d71af16690b,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
244756,Town Commons,same_origin_anchor,current_direct_published,https://harvest-properties.com/wp-content/uploads/2022/05/Georgetown-Floorplan_2.jpg,403,https://harvest-properties.com/wp-content/uploads/2022/05/Georgetown-Floorplan_2.jpg,75193,ac4f780358ba4326a07c3a9bb83dff5a70cbb95a22be0f4c9385efe182cd722f,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
277913,Redwood Perrysburg Oregon Road,same_origin_anchor,current_direct_published,https://rentatredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/floorplans,200,https://rentatredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/floorplans/,281966,243af3eeff8663b78eac26d8ed313edf51fe462e6d649ac1b4244ba94c0c7d2f,True,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
266766,101 Oxford,same_origin_anchor,current_direct_published,https://www.101oxford.com/floorplans,200,https://www.101oxford.com/floorplans,146706,ca3400c53ea856c276a7d220f154a7812ab07b0f6fe632cbbd406201e91808b5,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
241538,Block 88,same_origin_anchor,current_direct_published,https://www.block88apts.com/floorplans,200,https://www.block88apts.com/floorplans,198294,26461935d8e832226adb8a0aeac67cbf79e67953dcfd51bbf38913894aac786f,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
289338,201 Walnut,same_origin_anchor,current_direct_published,https://www.201walnut.com/floorplans,200,https://www.201walnut.com/floorplans,153159,edf3078a3fd01e400ef47b8e1aae1f3946d769c46e8dbc62c9c1e5273787c3de,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
241538,Block 88,same_origin_anchor,current_direct_published,https://www.block88apts.com/floorplans.aspx,200,https://www.block88apts.com/floorplans,198294,3787a4a1d8e155f4921f579c9fa5fc874c1cbec4a25566a3ba6feb837cf6199d,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
289338,201 Walnut,same_origin_anchor,current_direct_published,https://www.201walnut.com/floorplans/1-bedroom%2c-1-bathroom,200,https://www.201walnut.com/floorplans/1-bedroom%2c-1-bathroom,152765,f9014e692343972c6251c6e5c1602d4aebfd895bd7f93d03e1141418e30d1cdd,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
289338,201 Walnut,same_origin_anchor,current_direct_published,https://www.201walnut.com/floorplans/2-bedrooms%2c-2-bathrooms,200,https://www.201walnut.com/floorplans/2-bedrooms%2c-2-bathrooms,152773,10ffc1ad063f92ee77981e31005c8723289c062a3f9791cebbeee45b4c87d176,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
289338,201 Walnut,same_origin_anchor,current_direct_published,https://www.201walnut.com/floorplans/2-bedrooms%2c-2-bathrooms-%2b-den,200,https://www.201walnut.com/floorplans/2-bedrooms%2c-2-bathrooms-%2b-den,152936,a420abc87754e0e90a4f8a1109a22be1c6db7ed26632388c83cc2c7b69db8d7a,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
