property_id,property_name,website,source_adapter_0731,current_detected_adapter,exact_entrata_anchor,securecafe_base_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,disposition
247119,Riverside Place,https://www.riversidegp.com/,entrata,entrata,https://www.riversidegp.com/grand-prairie/riverside-place-apartments/conventional/,0,18,12,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
40733,Country Club,https://www.smdproperty.com/resident-properties/country-club-apartments/,generic,unknown,,0,6,6,residual_unconverted
218378,The Terraces Apartments,http://www.equityapartments.com/california/san-francisco-bay-apartments/lower-nob-hill/the-terraces-apartments.aspx,equity,equity,,0,0,0,residual_unconverted
22552,,https://www.lavinaapts.com/,,entrata,https://www.lavinaapts.com/livermore/la-vina/conventional/,0,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
232583,Custer Crossing Apartments,https://princetonmanagement.com/communities/custer-crossing-apartments/,generic,unknown,,0,4,4,residual_unconverted
234945,IMT Belasera at Superior,https://www.imtresidential.com/imtbelaseraatsuperior/,sightmap,sightmap,,0,0,0,residual_unconverted
52541,,https://princetonmanagement.com/communities/woodbridge-manor-apartments/,,unknown,,0,7,7,residual_unconverted
53567,Trafalgar Square Apartments,https://princetonmanagement.com/communities/trafalgar-square-apartments/,generic,unknown,,0,3,3,residual_unconverted
60145,Woodmont Mews,https://www.woodmontmewsapartments.com/,encoreskyline_template,generic_plan_text,,0,10,4,direct_or_archived_lane_exhausted_no_strict_win
22962,Fox Lane,https://princetonmanagement.com/communities/fox-lane-apartments/,generic,unknown,,0,3,3,residual_unconverted
52182,Woodside Village Apartments,http://www.woodsideapartments.net,generic_plan_text,generic_plan_text,,0,3,3,direct_or_archived_lane_exhausted_no_strict_win
34785,,http://adaraportal.yottareal.com/pages/HomePage.aspx?Id=55,,unknown,,0,15,6,residual_unconverted
295542,Enclave Crystal Lake,https://www.liveenclavecrystallake.com/,rentcafe,rentcafe,,0,20,5,residual_unconverted
301417,Marlowe Live Oak,https://www.marloweliveoak.com/,entrata,entrata,https://www.marloweliveoak.com/st-cloud/marlowe-live-oak/conventional/,0,44,4,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
230598,The Ridge,https://www.theridgehagerstown.com/,repli360,sightmap,,0,42,11,residual_unconverted
