property_id,property_name,website,source_adapter_0731,current_detected_adapter,evidence_lane,recovery_level,recovered_native_or_plan_row_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,rp_oracle_rows_with_availability_date,quality_caveat
72542,,http://www.rentandresidehere.net/,,appfolio,other_current_code_e2e_or_archived_replay,unknown,,5,3,5,
74384,,https://www.fountainparksouth.com/,,rentcafe_layout_tab,page_local_archived_replay,unknown,,30,4,30,
74488,St. Johns Wood,http://www.gscapts.com/apartments/Richmond_VA/zip_23225/gsc/4497,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,140,3,3,3,
78593,Estes Park,http://www.gscapts.com/apartments/Carrboro_NC/zip_27510/gsc/4510,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,32,8,2,8,
120193,Parks Residential - Richardson,https://www.parksrichardson.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,8,3,8,
217738,,http://www.thedistrictatcypresswaters.com/,,rentvision,other_current_code_e2e_or_archived_replay,unknown,,78,15,78,
217796,Old Shell Lofts,https://themobilelofts.com/apartments/al/mobile/the-old-shell-lofts/,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,3,3,3,3,
218786,,https://www.landcoapartments.com/coopers-landing-apartments/,,rentcafe,other_current_code_e2e_or_archived_replay,plan,44,44,44,44,44-plan result retained because RP independently has the same 44 names
221995,Booker Creek Townhouse Apartments,http://www.gscapts.com/apartments/Chapel_Hill_NC/zip_27514/gsc/4508,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,7,7,1,7,
223547,Redwood Delta Township II,https://www.byredwood.com/apartments/mi/lansing/redwood-delta-township/index.aspx,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,6,6,6,
224720,Optima Old Orchard Woods,http://www.optimaoldorchardwoods.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,18,12,18,
224888,,http://www.coveatoverlakeapts.com/,,knock,onesite_direct_e2e,unknown,,3,3,3,
228073,Alister Montclair,https://www.alistermontclair.com/,entrata,entrata,entrata_exact_property_e2e,plan,7,13,7,13,
231355,Murphy Varnish Lofts,https://murphyvarnishlofts.com/,generic,generic_plan_text,generic_direct_e2e,unit,31,22,8,22,
237787,,http://heritagepropertyrentals.com/heritage-amity-commons-overview/,,appfolio,other_current_code_e2e_or_archived_replay,unknown,,2,2,2,UI/blank plan names; property-scoped numeric data retained
