property_id,property_name,website,source_adapter_0731,current_detected_adapter,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,prior_disposition
69558,Spring Hill Apartments,https://www.goldberg-realty.com/spring-hill-apartments/default.aspx?_yTrackUser=NjYxMjI5OTY5IzE0NTQ0NTc5MTc=-lDwvxVr1Jx8=&_yTrackVisit=MTQ4NjYyNzQ2OCM2NDQ2Nzc2ODg%3d-W7HwJRKaxxE%3d&_yTrackReqDT=05551420201206,rentcafe,rentcafe,1,1,securecafe_exact_base_direct_blocked_or_pending_hb
69912,Creekwood,http://www.creekwoodapartmenthomes.com/,entrata,entrata,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
71345,Westgate Village Townhouses,https://www.westgate-village-townhouses.com/,wix_nopms,wix_nopms,1,1,direct_or_archived_lane_exhausted_no_strict_win
72631,Linden Lane,http://www.lindenlaneapartmenthomes.com/,generic_plan_text,generic_plan_text,3,3,direct_or_archived_lane_exhausted_no_strict_win
72732,,http://www.centralmngt.com/Search?Community=15,,unknown,2,2,residual_unconverted
72743,,https://brandywinecommunities.com/properties/della-plaza/,,rentcafe,0,0,residual_unconverted
74519,The Jamestown,https://www.thejamestownapartments.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
76138,Covey Chase,https://morrowapartments.net/wdk-listing/covey-chase-apartments/,generic_plan_text,generic_plan_text,3,3,direct_or_archived_lane_exhausted_no_strict_win
118965,16 Bennett,https://www.16bennett.com,wix_nopms,wix_nopms,4,4,direct_or_archived_lane_exhausted_no_strict_win
218378,The Terraces Apartments,http://www.equityapartments.com/california/san-francisco-bay-apartments/lower-nob-hill/the-terraces-apartments.aspx,equity,equity,0,0,residual_unconverted
218786,,https://www.landcoapartments.com/coopers-landing-apartments/,,rentcafe,44,44,strict99_false_positive_reintroduced
223248,Royal Oaks,http://www.metroplexapts.com,rentcafe,rentcafe,0,0,residual_unconverted
223864,Kendall Square,http://www.stewartlangleyproperties.com/kendall-square/,rentmanager,rentmanager,2,2,direct_or_archived_lane_exhausted_no_strict_win
224888,,http://www.coveatoverlakeapts.com/,,knock,3,3,strict99_false_positive_reintroduced
225886,Casa Baywood,https://www.casabaywoodapts.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
226383,The Colony Apartments,http://availability.sparkleam.com/properties/?rmwebsvc_command=PropertyDetail&rmwebsvc_id=4&rmwebsvc_template=Properties,rentmanager,rentmanager,0,0,direct_or_archived_lane_exhausted_no_strict_win
231543,Autumn Hills,https://bestrentnj.com/Communities/Autumn-Hills/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
232583,Custer Crossing Apartments,https://princetonmanagement.com/communities/custer-crossing-apartments/,generic,unknown,4,4,residual_unconverted
234945,IMT Belasera at Superior,https://www.imtresidential.com/imtbelaseraatsuperior/,sightmap,sightmap,0,0,residual_unconverted
235473,,http://www.rooftop252.com/,,unknown,6,4,residual_unconverted
237787,,http://heritagepropertyrentals.com/heritage-amity-commons-overview/,,appfolio,2,2,strict99_false_positive_reintroduced
241145,,https://www.midtownwestdetroit.com/single-family,,appfolio,0,0,direct_or_archived_lane_exhausted_no_strict_win
241538,Block 88,http://www.block88apts.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
244756,Town Commons,https://harvest-properties.com/project/town-commons-apartments/,rentcafe,rentcafe,6,6,residual_unconverted
245993,Alberta Square,https://www.glendalecommunities.com/property/alberta-square/,rentmanager,rentmanager,1,1,direct_or_archived_lane_exhausted_no_strict_win
246351,Chatsworth Village Townhomes,https://www.glendalecommunities.com/property/chatsworth-townhouses/,rentmanager,rentmanager,2,2,direct_or_archived_lane_exhausted_no_strict_win
246468,Colonial Manor,https://www.rentwatertown.com/colonial-manor,rentmanager,rentmanager,0,0,direct_or_archived_lane_exhausted_no_strict_win
251514,LC SoBro I,https://lifestylecommunities.com/community/lc-sobro,entrata,appfolio,28,13,direct_or_archived_lane_exhausted_no_strict_win
254122,,https://www.pedcorliving.com/apartments/avril-cambridge-village,,generic_plan_text,5,3,strict99_false_positive_reintroduced
260761,Westridge Lofts,http://www.westridgelofts.com/,appfolio,appfolio,0,0,direct_or_archived_lane_exhausted_no_strict_win
263732,Hoyt Tower,https://www.hoyttowernewark.com/,wix_nopms,wix_nopms,2,2,direct_or_archived_lane_exhausted_no_strict_win
266766,101 Oxford,https://www.101oxford.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
272772,Hawkeye Village,http://hawkeyevillageapartments.com/,generic,unknown,5,5,residual_unconverted
282696,Allen Ranch Estates,https://www.ishranchestates.com/allen-ranch,wix_nopms,wix_nopms,1,1,direct_or_archived_lane_exhausted_no_strict_win
289338,201 Walnut,https://www.201walnut.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
291774,Gallatin Village,https://www.123taylor.com/gallatin-village,onesite,onesite,5,5,strict99_false_positive_reintroduced
294493,Ashland,https://krcapartments.com/property-detail/?propid=587&propname=Ashland%20Apartments,rentmanager,rentmanager,0,0,direct_or_archived_lane_exhausted_no_strict_win
295643,Walnut River Residences,https://walnutriverresidences.com/,generic_plan_text,generic_plan_text,3,3,direct_or_archived_lane_exhausted_no_strict_win
299847,Mirabella,https://www.mirabellamcallen.com/,generic,generic_plan_text,5,5,direct_or_archived_lane_exhausted_no_strict_win
