"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
226,"265143","The Point at Kingston","1 Kingston Collection Way","Kingston","MA","02364","https://www.thepointatkingston.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,143294
227,"262717",,,,,,"https://www.aviareedycreek.com/","no extract result",,,,,,
227,"44148","Glacier View","3000 SW Corbeth Ln","Troutdale","OR","97060","https://glacierview.tokolaproperties.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,133080
227,"6274","The Village at Voorhees","10 Lucas Ln","Voorhees Township","NJ","08043","https://www.fmgnj.com/apartments/nj/voorhees/the-village-apartments/","no records extracted","g5","g5","TIER_1_API_G5_API_ERROR","OK",,350586
227,"70255","Coventry Square","20 Charles St","Westwood","NJ","07675","https://coventrysquareapartments.com/","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,99515
228,"118965","16 Bennett","16 Bennett St","Jersey City","NJ","07304","https://www.16bennett.com","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,568779
229,"297708","Argento at Sugarloaf","80 Lawrenceville-Suwanee Rd","Lawrenceville","GA","30044","https://www.argentoatsugarloaf.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,304115
229,"41644","West Mall Terrace","4720 S Pine St","Tacoma","WA","98409","www.rentatwestmallterrace.com","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,145589
230,"23760","Ashton Glen","8850 Golden Oak Dr","Manassas","VA","20109","http://www.ashtonglen.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,34906
230,"237787",,,,,,"http://heritagepropertyrentals.com/heritage-amity-commons-overview/","no extract result",,,,,,
230,"262799","220 East 72nd","220 E 72nd St","New York","NY","10021","https://www.dermotcompany.com/building/220-east-72nd-street#availability","no records extracted","rentcafe","onsite_apply","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,325870
230,"46036","Serengeti Springs","7898 Serenera Way","West Jordan","UT","84081","http://www.serengetisprings.com","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,147533
231,"270367","Boulevard 45","4540 Helm Dr","Virginia Beach","VA","23452","https://blvd45apts.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,652276
231,"295643","Walnut River Residences","925 SE River Rd","El Dorado","KS","67042","https://walnutriverresidences.com/","no records extracted","generic_plan_text","generic_plan_text","TIER_1_DOM_GENERIC_PLAN_TEXT","OK",,119240
231,"39710","Ashton Judiciary Square","750 3rd St NW","Washington","DC","20001","http://www.ashtonjs.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,590615
232,"271721","The Millennium on Monroe","2002 N Monroe St","Spokane","WA","99205","https://www.millenniumnw.com/","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,416904
232,"51143","Lauderdale Hollows","1622 Carl St","Lauderdale","MN","55108","https://mgmmgmt.net/property-details/?pid=136","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER_NO_ENDPOINT","OK",,63750
233,"263127","Hickory Grove","11907 Apache Ave","Savannah","GA","31419","https://www.hickorygrovega.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER_NO_ENDPOINT","OK",,112884
233,"44513","Tranquility Pointe","4345 N 126th Ct","Omaha","NE","68154","https://www.tranquilitypointeapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,175883
234,"19538","Stadium Apartments","2999 Woodway Dr SW","Huntsville","AL","35805","http://www.stadiumapartmentshuntsville.com/","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,430783
234,"9297","Park Creek Manor","2520 Coombs Creek Dr","Dallas","TX","75211","https://www.parkcreekmanor.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,140535
235,"23494","Indian Village","930 Old Goddard Rd","Lincoln Park","MI","48146","https://indianvillageapt.wixsite.com/home/apartments","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,375059
235,"241145",,,,,,"https://www.midtownwestdetroit.com/single-family","no extract result",,,,,,
235,"48389","Village Gate Apartments","3311 Turtle Point Dr","Fayetteville","NC","28304","http://www.villagegatenc.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,55462
237,"71962","Towne House","151 Sea St","Quincy","MA","02169","https://www.townehousequincy.com/","no records extracted","onesite","knock","TIER_1_API_ONESITE_NO_RESPONSE","OK",,126951
238,"274886",,,,,,"https://parkplace380.com/listings/aster-village-two/","no extract result",,,,,,
239,"258584","The Encore at Ingram Manor","7307 Park Heights Ave","Pikesville","MD","21208","https://www.theencoreatingrammanorapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,146806
239,"64068","Riverplace","201 Deann Dr","Independence","OR","97351","www.riverplacecr.com","no records extracted","generic","unknown","TIER_1_API","OK",,24257
240,"283566","The Standard at Franz","24300 Franz Rd","Katy","TX","77493","https://www.hpifranz.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,144922
240,"43520","Park at Blanding","222 Blairmore Blvd E","Orange Park","FL","32073","http://www.parkatblanding.com/","no records extracted","realpage_oll","onesite","TIER_1_API_REALPAGE_OLL","OK",,243199
241,"22964","Tropicana Village Apartments","4995 S Maryland Pkwy","Las Vegas","NV","89119","https://www.tropicanavillageapartments.com/","no records extracted","generic","unknown","TIER_1_API","OK",,129358
241,"260761","Westridge Lofts","2311 SE 192nd Ave","Camas","WA","98607","http://www.westridgelofts.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,273953
241,"38984","Lakeview Arms","800 Magee Dr","Brookhaven","MS","39601","http://www.lakeviewapartmentsms.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,166075
242,"230802","ReNew Little Creek II","6450 Crescent Way","Norfolk","VA","23513","https://www.renewlittlecreek.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,140960
242,"32134","Crowders View Townhomes","1926 Hartford Dr","Gastonia","NC","28052","https://crowdersviewtownhomes.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,214427
243,"19785","Cottonwood Creek Apartments","3149 E Desert Inn Rd","Las Vegas","NV","89121","www.cottonwoodcreekapartments.com","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,169946
243,"5782","Springfield","10815 SE 184th Ln","Renton","WA","98055","https://www.springfieldrenton.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,215435
243,"68952",,,,,,"https://www.livewyeast.com/","no extract result",,,,,,
244,"252116","Emerson Park","6735 Brookline Gardens Rd","Westerville","OH","43081","https://www.liveemersonpark.com/","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,549919
244,"32716","Porto Bella","10853 Firestone Blvd","Norwalk","CA","90650","https://portobellaapts.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,161728
244,"38345",,,,,,"http://www.monarchatdosvientos.com/","no extract result",,,,,,
247,"224888",,,,,,"http://www.coveatoverlakeapts.com/","no extract result",,,,,,
248,"35778","Brazos Ranch","7404 Town Center Blvd","Rosenberg","TX","77471","https://www.brazosranch-apts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_EMPTY","OK",,191242
248,"61285",,,,,,"http://www.allezliving.com/","no extract result",,,,,,
249,"67697","Central Island Square","50 Central Island St","Charleston","SC","29492","https://www.cr-centralislandsquareapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,196815
249,"68691","The District at Rosemary","710 N Lemon Ave","Sarasota","FL","34236","https://www.thedistrictatrosemary.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,239143
249,"69282","Vista Del Plaza","272 S Poplar Ave","Brea","CA","92821","http://www.vistadelplaza.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,76392
