"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
45,"1765","Annaberg","2905 Arrowhead Dr","Augusta","GA","30909","https://www.augustarentalhomes.net/_system/listings/56/2905-Arrowhead-Drive---D3-Augusta-GA-30909-US","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,1317560
45,"3788",,,,,,"http://www.citadelvillageco.com/","no extract result",,,,,,
46,"540",,,,,,"https://www.hgliving.com/apartments/fl/jacksonville/bridgepoint/#/","no extract result",,,,,,
47,"75912","TGM Creekside Village","303 Maple Tree Dr","Glen Burnie","MD","21060","www.tgmcreeksidevillage.com","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,174660
48,"24982","Fisher Building","343 S Dearborn St","Chicago","IL","60604","https://www.cityclubapartments.com/usa/chicago-il/downtown/fisher-building-city-club/?lvcode=890940","no records extracted","generic","unknown","TIER_1_API","OK",,958
48,"27080","Easton North","1126 J Easton Ave","Somerset","NJ","08873","http://www.oxfordrealtygroup.com/properties/new-jersey/easton-north/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,243982
48,"64545","The Lofts at White Furniture","201 E Center St","Mebane","NC","27302","https://www.whitefurniturelofts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,143070
50,"49921","Legacy At Abbington Place","1025 Kensington Dr","Jacksonville","NC","28546","https://www.pedcorliving.com/apartments/legacy-at-abbington-place","no records extracted","generic","generic_plan_text","GENERIC_VALIDITY_REJECTED","OK",,186849
53,"18194","Parke Place Townhomes","44 New Zealand Rd","Seabrook","NH","03874","https://www.forestproperties.net/property/availabilities/parke-place-village","no records extracted","realpage_oll","realpage_oll","TIER_1_API_REALPAGE_OLL","OK",,10469
54,"23572",,,,,,"https://www.riveroaksmgmt.com/vacancies-sommerset-la-costa","no extract result",,,,,,
54,"26527","Aquila Park","8150 W 30 1/2 St","St Louis Park","MN","55426","https://finelivingapts.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER_NO_ENDPOINT","OK",,67369
55,"12586","Avondale at Warner Center","22222 Victory Blvd","Woodland Hills","CA","91367","https://www.essexapartmenthomes.com/apartments/woodland-hills/avondale-at-warner-center","no records extracted","essex","essex","TIER_1_API_ESSEX","OK",,668234
56,"221995","Booker Creek Townhouse Apartments","2525 Booker Creek Rd","Chapel Hill","NC","27514","http://www.gscapts.com/apartments/Chapel_Hill_NC/zip_27514/gsc/4508","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,142654
56,"277774","Redwood Superior Township","1725 Cardiff Row","Superior Charter Township","MI","48198","https://www.byredwood.com/apartments/mi/superior-township/redwood-superior-township/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,309542
58,"30101","Apartments at Bel Air","1001 Todd Rd","Bel Air","MD","21015","https://www.seasonsbelair.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,157026
58,"34303","Duke Manor","311 S Lasalle St","Durham","NC","27705","http://www.gscapts.com/apartments/Durham_NC/zip_27705/gsc/4506","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,142842
58,"61459",,,,,,"http://www.thiestalle.com/properties/oakstreet-st-cloud.html","no extract result",,,,,,
58,"76138","Covey Chase","601 Lee Cir SW","Cullman","AL","35055","https://morrowapartments.net/wdk-listing/covey-chase-apartments/","no records extracted","generic_plan_text","generic_plan_text","TIER_1_DOM_GENERIC_PLAN_TEXT","OK",,156329
59,"217738",,,,,,"http://www.thedistrictatcypresswaters.com/","no extract result",,,,,,
59,"49096","Pondview Apartments","2565 Ivy Ave E","Maplewood","MN","55119","https://tvcproperties.com/community-detail/?pid=19","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,66812
60,"68497","Maya","535 S Kingsley Dr","Los Angeles","CA","90020","http://www.liveatmaya.com/","no records extracted","knock","knock","TIER_1_KNOCK_API","OK",,40303
61,"75314","Village Park at Paladin","101 Clifton Park Cir","Wilmington","DE","19802","https://pettinaro.com/village-park-paladin/","no records extracted","generic","unknown","TIER_1_API","OK",,254523
62,"27594","Midland Falls","6029 Flat Rock Rd","Columbus","GA","31907","https://www.midlandfallsapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,160990
62,"74488","St. Johns Wood","901 St John's Wood Dr N","Richmond","VA","23225","http://www.gscapts.com/apartments/Richmond_VA/zip_23225/gsc/4497","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,142654
63,"261116","Copper Pointe","6410 S New Braunfels Ave","San Antonio","TX","78223","https://copperpointeapts.com/","no records extracted","realpage_oll","knock","TIER_1_API_REALPAGE_OLL","OK",,145428
63,"26736","The Boro - Phipps","3460 Kingsboro Rd NE","Atlanta","GA","30326","https://www.theboroapartments.com/?switch_cls%5Bid%5D=64893&utm_source=gmb&utm_medium=organic&oll_switch_cls%5Bid%5D=64893&oll_utm_source=gmb&oll_utm_medium=organic","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,135827
63,"2844","TGM Danada","2 Sterling Cir","Wheaton","IL","60189","www.tgmdanada.com","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,198838
64,"56182",,,,,,"https://www.liveatacornacres.com/","no extract result",,,,,,
64,"74900","Fox Lake","505 Fox Crossing Blvd","Knoxville","TN","37923","https://www.foxlakeonline.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,563236
65,"19245","Tenzen","4117 124th Ave SE","Bellevue","WA","98006","http://www.tenzenapartments.com/","no records extracted","generic","unknown","TIER_1_API","OK",,7018
65,"2239","TGM Autumn Woods","9075 Autumn Woods Dr","Indianapolis","IN","46250","http://www.tgmautumnwoods.com","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,189819
65,"27349",,,,,,"https://www.countryvillageapthomes.com/","no extract result",,,,,,
65,"58939",,,,,,"http://www.thelandingsatbrookscity-base.com/","no extract result",,,,,,
66,"34362","Tamarron","4410 N 99th Ave","Phoenix","AZ","85037","www.thetamarronapts.com","no records extracted","generic","unknown","TIER_1_API","OK",,11816
67,"50114","Woodgrove Point","3318 Galbraith Rd","Cincinnati","OH","45239","https://rookwoodproperties.com/details/?propID=1&rmwebsvc_id=1&rmwebsvc_command=PropertyDetail.aspx&rmwebsvc_corpid=rookwood&rmwebsvc_location=1&rmwebsvc_mode=javascript&rmwebsvc_AvailabilityDate=8/21/2019&rmwebsvc_template=proplist","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,76405
68,"260697",,,,,,"https://www.linqatsouthmountain.com/","no extract result",,,,,,
70,"17984","Alessio","5700 W Centinela Ave","Los Angeles","CA","90045","https://www.essexapartmenthomes.com/apartments/los-angeles/alessio","no records extracted","essex","essex","TIER_1_API_ESSEX","OK",,639197
70,"300327","Flats on 10th","3300 Schlosser Farm Way","Jeffersonville","IN","47130","https://flatson10th.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,140355
71,"277913",,,,,,"https://www.byredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/index.aspx","no extract result",,,,,,
71,"68465","The Morgan Sandy Springs","6125 Roswell Rd","Atlanta","GA","30328","https://www.themorgansandysprings.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,151538
72,"2282","City View","25200 Carlos Bee Blvd","Hayward","CA","94542","https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view","no records extracted","essex","essex","TIER_1_API_ESSEX","OK",,643093
72,"69558","Spring Hill Apartments","767 Springfield Ave","Summit","NJ","07901","https://www.goldberg-realty.com/spring-hill-apartments/default.aspx?_yTrackUser=NjYxMjI5OTY5IzE0NTQ0NTc5MTc=-lDwvxVr1Jx8=&_yTrackVisit=MTQ4NjYyNzQ2OCM2NDQ2Nzc2ODg%3d-W7HwJRKaxxE%3d&_yTrackReqDT=05551420201206","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,294088
